[P4-G8C] Loading data ...
[P4-G8C] train=496 val=496 test=496
[P4-G8C] stage=1 epoch=0 train_loss=2.6149 val_signal=0.2607
[P4-G8C] stage=1 epoch=1 train_loss=2.3718 val_signal=0.6051
[P4-G8C] stage=1 epoch=2 train_loss=2.4271 val_signal=0.2335
[P4-G8C] stage=1 epoch=3 train_loss=2.2936 val_signal=1.1867
[P4-G8C] stage=1 epoch=4 train_loss=2.0161 val_signal=1.1965
[P4-G8C] stage=1 epoch=5 train_loss=2.2432 val_signal=1.2553
[P4-G8C] stage=1 epoch=6 train_loss=2.0656 val_signal=0.3024
[P4-G8C] stage=1 epoch=7 train_loss=2.2910 val_signal=0.3516
[P4-G8C] stage=2 epoch=0 train_loss=2.0556 val_signal=0.9056
[P4-G8C] stage=2 epoch=1 train_loss=1.8875 val_signal=1.0318
[P4-G8C] stage=2 epoch=2 train_loss=1.8401 val_signal=0.6780
[P4-G8C] stage=2 epoch=3 train_loss=1.8791 val_signal=2.0971
[P4-G8C] stage=2 epoch=4 train_loss=1.6483 val_signal=1.7670
[P4-G8C] stage=2 epoch=5 train_loss=1.9285 val_signal=1.4225
[P4-G8C] stage=2 epoch=6 train_loss=1.5498 val_signal=1.9683
[P4-G8C] stage=2 epoch=7 train_loss=1.8135 val_signal=1.5512
[P4-G8C] stage=3 epoch=0 train_loss=0.3223 val_signal=0.0492
[P4-G8C] stage=3 epoch=1 train_loss=0.4745 val_signal=0.0070
[P4-G8C] stage=3 epoch=2 train_loss=0.4702 val_signal=0.0054
[P4-G8C] stage=3 epoch=3 train_loss=0.4468 val_signal=0.1024
[P4-G8C] stage=3 epoch=4 train_loss=0.3331 val_signal=0.0039
[P4-G8C] stage=3 epoch=5 train_loss=0.3587 val_signal=0.0045
[P4-G8C] stage=3 epoch=6 train_loss=0.3672 val_signal=0.0042
[P4-G8C] stage=3 epoch=7 train_loss=0.3849 val_signal=0.0053
[P4-G8C] stage=4 epoch=0 train_loss=17241379039771542.0000 val_signal=0.0528
[P4-G8C] stage=4 epoch=1 train_loss=80645160024737856.0000 val_signal=0.0089
[P4-G8C] stage=4 epoch=2 train_loss=32258064009895144.0000 val_signal=0.0046
[P4-G8C] stage=4 epoch=3 train_loss=51724137119314624.0000 val_signal=0.0103
[P4-G8C] stage=4 epoch=4 train_loss=68965516159086168.0000 val_signal=0.0014
[P4-G8C] stage=4 epoch=5 train_loss=112903224034633008.0000 val_signal=0.0015
[P4-G8C] stage=4 epoch=6 train_loss=17241379039771542.0000 val_signal=0.0012
[P4-G8C] stage=4 epoch=7 train_loss=83333332025562448.0000 val_signal=0.0015
[P4-G8C] stage=1 epoch=0 train_loss=2.5035 val_signal=0.5284
[P4-G8C] stage=1 epoch=1 train_loss=1.8829 val_signal=0.9831
[P4-G8C] stage=1 epoch=2 train_loss=2.1072 val_signal=0.3290
[P4-G8C] stage=1 epoch=3 train_loss=1.9085 val_signal=1.2051
[P4-G8C] stage=1 epoch=4 train_loss=1.7444 val_signal=0.9129
[P4-G8C] stage=1 epoch=5 train_loss=1.6341 val_signal=1.5063
[P4-G8C] stage=1 epoch=6 train_loss=1.7628 val_signal=1.2095
[P4-G8C] stage=1 epoch=7 train_loss=1.7969 val_signal=1.2073
[P4-G8C] stage=2 epoch=0 train_loss=1.8952 val_signal=0.9894
[P4-G8C] stage=2 epoch=1 train_loss=1.5723 val_signal=1.2353
[P4-G8C] stage=2 epoch=2 train_loss=1.5594 val_signal=1.3187
[P4-G8C] stage=2 epoch=3 train_loss=1.5024 val_signal=0.9227
[P4-G8C] stage=2 epoch=4 train_loss=1.4741 val_signal=1.2828
[P4-G8C] stage=2 epoch=5 train_loss=1.2517 val_signal=1.2980
[P4-G8C] stage=2 epoch=6 train_loss=1.3901 val_signal=1.7024
[P4-G8C] stage=2 epoch=7 train_loss=1.3508 val_signal=2.4450
[P4-G8C] stage=3 epoch=0 train_loss=0.3708 val_signal=0.0682
[P4-G8C] stage=3 epoch=1 train_loss=0.4569 val_signal=0.0045
[P4-G8C] stage=3 epoch=2 train_loss=0.3720 val_signal=0.0008
[P4-G8C] stage=3 epoch=3 train_loss=0.4284 val_signal=0.0028
[P4-G8C] stage=3 epoch=4 train_loss=0.3770 val_signal=0.0028
[P4-G8C] stage=3 epoch=5 train_loss=0.3451 val_signal=0.0105
[P4-G8C] stage=3 epoch=6 train_loss=0.3129 val_signal=0.0046
[P4-G8C] stage=3 epoch=7 train_loss=0.3754 val_signal=0.0065
[P4-G8C] stage=4 epoch=0 train_loss=48387096014842712.0000 val_signal=0.0024
[P4-G8C] stage=4 epoch=1 train_loss=94444443344078992.0000 val_signal=0.0041
[P4-G8C] stage=4 epoch=2 train_loss=49999999215337472.0000 val_signal=0.0740
[P4-G8C] stage=4 epoch=3 train_loss=155172411357943872.0000 val_signal=0.0292
[P4-G8C] stage=4 epoch=4 train_loss=66666665620449960.0000 val_signal=0.0200
