source_family,target_family,method,seed,train_mrr,target_mrr,target_auprc,target_ece,source_mrr,source_auprc,src_n_train,tgt_n_train,tgt_n_test
Pd coupling,Alkylation,direct,20260723,0.37619,0.23655,0.565354,0.27494,0.278917,0.755413,354,93,27
Pd coupling,Alkylation,direct,20260724,0.409524,0.236733,0.563272,0.216954,0.283774,0.801896,354,93,27
Pd coupling,Alkylation,head_ft,20260723,0.37619,0.23655,0.565354,0.272438,0.273362,0.733191,354,93,27
Pd coupling,Alkylation,head_ft,20260724,0.409524,0.236733,0.563272,0.213853,0.283774,0.801896,354,93,27
Pd coupling,Alkylation,risk_aware,20260723,0.37619,0.236021,0.562179,0.274793,0.264103,0.705413,354,93,27
Pd coupling,Alkylation,risk_aware,20260724,0.409524,0.238276,0.569444,0.214942,0.27433,0.772451,354,93,27
Alkylation,Alkylation,baseline,20260723,0.0,0.285501,0.80796,0.107161,0.285501,0.80796,93,93,27
Alkylation,Alkylation,baseline,20260724,0.0,0.279221,0.764379,0.104859,0.279221,0.764379,93,93,27
Alkylation,Pd coupling,direct,20260723,0.138077,0.124898,0.36446,0.013153,0.176856,0.582211,93,354,27
Alkylation,Pd coupling,direct,20260724,0.112632,0.193936,0.464933,0.067116,0.279221,0.764379,93,354,27
Alkylation,Pd coupling,head_ft,20260723,0.138077,0.124898,0.36446,0.038177,0.176856,0.582211,93,354,27
Alkylation,Pd coupling,head_ft,20260724,0.112632,0.193936,0.464933,0.076024,0.279221,0.764379,93,354,27
Alkylation,Pd coupling,risk_aware,20260723,0.138077,0.124898,0.36446,0.013155,0.176856,0.582211,93,354,27
Alkylation,Pd coupling,risk_aware,20260724,0.11286,0.217635,0.526182,0.125471,0.287544,0.822465,93,354,27
Pd coupling,Pd coupling,baseline,20260723,0.0,0.193988,0.644531,0.233393,0.193988,0.644531,354,354,27
Pd coupling,Pd coupling,baseline,20260724,0.0,0.246117,0.676204,0.117741,0.246117,0.676204,354,354,27
Hydrogenation,Pd coupling,direct,20260723,0.129733,0.08605,0.322014,0.03164,0.0,0.0,54,354,27
Hydrogenation,Pd coupling,direct,20260724,0.089684,0.094014,0.334343,0.151242,0.0,0.0,54,354,27
Hydrogenation,Pd coupling,head_ft,20260723,0.129733,0.08605,0.322014,0.02795,0.0,0.0,54,354,27
Hydrogenation,Pd coupling,head_ft,20260724,0.089684,0.094014,0.334343,0.145471,0.0,0.0,54,354,27
Hydrogenation,Pd coupling,risk_aware,20260723,0.129733,0.08605,0.322014,0.03164,0.0,0.0,54,354,27
Hydrogenation,Pd coupling,risk_aware,20260724,0.089684,0.094014,0.334343,0.151249,0.0,0.0,54,354,27
Pd coupling,Pd coupling,baseline,20260723,0.0,0.193988,0.644531,0.233393,0.193988,0.644531,354,354,27
Pd coupling,Pd coupling,baseline,20260724,0.0,0.246117,0.676204,0.117741,0.246117,0.676204,354,354,27
Alkylation,Cabonylation,direct,20260723,0.291667,0.291667,0.458333,0.19385,0.277381,0.762566,93,60,9
Alkylation,Cabonylation,direct,20260724,0.436508,0.159259,0.288889,0.028594,0.17107,0.546944,93,60,9
Alkylation,Cabonylation,head_ft,20260723,0.291667,0.291667,0.458333,0.188764,0.277381,0.762566,93,60,9
Alkylation,Cabonylation,head_ft,20260724,0.436508,0.159259,0.288889,0.026453,0.17107,0.546944,93,60,9
Alkylation,Cabonylation,risk_aware,20260723,0.291667,0.291667,0.458333,0.193851,0.277381,0.762566,93,60,9
Alkylation,Cabonylation,risk_aware,20260724,0.436508,0.159259,0.288889,0.028541,0.17107,0.546944,93,60,9
Cabonylation,Cabonylation,baseline,20260723,0.0,0.472222,0.666667,0.107988,0.472222,0.666667,60,60,9
Cabonylation,Cabonylation,baseline,20260724,0.0,0.492063,0.698413,0.107015,0.492063,0.698413,60,60,9
Cabonylation,Alkylation,direct,20260723,0.250952,0.108616,0.409374,0.059175,0.464286,0.642857,60,93,27
Cabonylation,Alkylation,direct,20260724,0.334127,0.110006,0.367537,0.104941,0.492063,0.698413,60,93,27
Cabonylation,Alkylation,head_ft,20260723,0.250952,0.108616,0.409374,0.055306,0.464286,0.642857,60,93,27
Cabonylation,Alkylation,head_ft,20260724,0.334127,0.110006,0.367537,0.105372,0.492063,0.698413,60,93,27
Cabonylation,Alkylation,risk_aware,20260723,0.250952,0.108616,0.409374,0.059196,0.464286,0.642857,60,93,27
Cabonylation,Alkylation,risk_aware,20260724,0.334127,0.110006,0.367537,0.104941,0.492063,0.698413,60,93,27
Alkylation,Alkylation,baseline,20260723,0.0,0.285501,0.80796,0.107161,0.285501,0.80796,93,93,27
Alkylation,Alkylation,baseline,20260724,0.0,0.279221,0.764379,0.104859,0.279221,0.764379,93,93,27
Rh coupling,Cu coupling,direct,20260723,0.6,0.333333,0.333333,0.121151,0.416667,0.666667,60,30,3
Rh coupling,Cu coupling,direct,20260724,0.333333,1.0,1.0,0.152347,0.75,1.0,60,30,3
Rh coupling,Cu coupling,head_ft,20260723,0.6,0.333333,0.333333,0.119022,0.416667,0.666667,60,30,3
Rh coupling,Cu coupling,head_ft,20260724,0.333333,1.0,1.0,0.150287,0.75,1.0,60,30,3
Rh coupling,Cu coupling,risk_aware,20260723,0.6,0.333333,0.333333,0.121152,0.416667,0.666667,60,30,3
Rh coupling,Cu coupling,risk_aware,20260724,0.333333,1.0,1.0,0.15235,0.75,1.0,60,30,3
Cu coupling,Cu coupling,baseline,20260723,0.0,1.0,1.0,0.117036,1.0,1.0,30,30,3
Cu coupling,Cu coupling,baseline,20260724,0.0,1.0,1.0,0.174608,1.0,1.0,30,30,3
Cu coupling,Rh coupling,direct,20260723,1.0,0.183333,0.333333,0.10297,1.0,1.0,30,60,6
Cu coupling,Rh coupling,direct,20260724,1.0,0.75,1.0,0.177765,1.0,1.0,30,60,6
Cu coupling,Rh coupling,head_ft,20260723,1.0,0.183333,0.333333,0.100935,1.0,1.0,30,60,6
Cu coupling,Rh coupling,head_ft,20260724,1.0,0.291667,0.5,0.176233,1.0,1.0,30,60,6
Cu coupling,Rh coupling,risk_aware,20260723,1.0,0.183333,0.333333,0.102924,1.0,1.0,30,60,6
Cu coupling,Rh coupling,risk_aware,20260724,1.0,0.75,1.0,0.177762,1.0,1.0,30,60,6
Rh coupling,Rh coupling,baseline,20260723,0.0,0.416667,0.666667,0.313514,0.416667,0.666667,60,60,6
