backbone,arm_id,arm_name,cohens_d,pp_diff,arm_mean_mrr,baseline_mean_mrr,ci_low,ci_high,p_value
chemformer,A1,random_mismatch,-0.167,-1.8329,0.358593,0.376922,-0.101498,0.06671,0.665
chemformer,A2,random_corruption,0.4332,1.632,0.393242,0.376922,-0.008284,0.039746,0.095
chemformer,A3,tanimoto_retrieval,-0.7738,-5.7188,0.319734,0.376922,-0.117591,0.000866,0.9732
chemformer,A4,template_perturbation,-0.1429,-0.9719,0.367203,0.376922,-0.053377,0.043625,0.6717
chemformer,A5,unconstrained_edit,0.6912,2.4684,0.401606,0.376922,0.003437,0.04424,0.0121
chemformer,A6,rule_pc_cng,0.7861,2.9048,0.40597,0.376922,0.00301,0.05487,0.0129
gnn,A1,random_mismatch,2.7707,7.4517,0.358574,0.284056,0.050675,0.098805,0.0
gnn,A2,random_corruption,1.4424,5.2329,0.336385,0.284056,0.022731,0.081048,0.0001
gnn,A3,tanimoto_retrieval,0.6537,1.4336,0.298392,0.284056,-0.007487,0.031437,0.0891
gnn,A4,template_perturbation,1.7223,4.3621,0.327678,0.284056,0.018818,0.06919,0.0001
gnn,A5,unconstrained_edit,1.7187,4.6212,0.330268,0.284056,0.020948,0.071316,0.0002
gnn,A6,rule_pc_cng,2.9642,6.8749,0.352805,0.284056,0.045087,0.091652,0.0
morgan_mlp,A1,random_mismatch,12.6303,19.4831,0.614229,0.419398,0.180803,0.207322,0.0
morgan_mlp,A2,random_corruption,5.219,15.8777,0.578175,0.419398,0.134654,0.182048,0.0
morgan_mlp,A3,tanimoto_retrieval,0.1502,0.2405,0.421803,0.419398,-0.014229,0.016948,0.3739
morgan_mlp,A4,template_perturbation,10.0457,13.2909,0.552307,0.419398,0.12413,0.142179,0.0
morgan_mlp,A5,unconstrained_edit,11.8033,21.4074,0.633472,0.419398,0.203463,0.224636,0.0
morgan_mlp,A6,rule_pc_cng,5.6826,10.6926,0.526325,0.419398,0.088593,0.124233,0.0
