backbone,arm_id,arm_name,seed,trainable_parameters,total_parameters,wall_clock_seconds,n_train_examples,n_train_pos,n_train_neg,val_mrr,val_top1,val_top3,val_ndcg,val_auprc,val_ece,val_brier,test_mrr,test_top1,test_top3,test_ndcg,test_auprc,test_ece,test_brier
chemformer,A0,positive_only,20260721,180737,19363937,29.71,394,394,0,0.407049,0.156863,0.54902,0.550773,0.272304,0.850565,0.832805,0.355628,0.072727,0.527273,0.512572,0.147321,0.850521,0.832744
chemformer,A0,positive_only,20260722,180737,19363937,17.27,394,394,0,0.446405,0.196078,0.568627,0.581446,0.234367,0.754076,0.677916,0.389697,0.072727,0.581818,0.539787,0.19896,0.753976,0.677774
chemformer,A0,positive_only,20260723,180737,19363937,30.07,394,394,0,0.405719,0.156863,0.54902,0.549157,0.208869,0.87187,0.869527,0.355823,0.090909,0.490909,0.511239,0.155249,0.871869,0.869527
chemformer,A0,positive_only,20260724,180737,19363937,29.83,394,394,0,0.414286,0.176471,0.490196,0.555249,0.205318,0.869584,0.865548,0.405628,0.163636,0.509091,0.549297,0.177409,0.869579,0.86554
chemformer,A0,positive_only,20260725,180737,19363937,17.75,394,394,0,0.448366,0.215686,0.54902,0.582531,0.28287,0.74672,0.666855,0.425455,0.163636,0.527273,0.565672,0.202945,0.746633,0.666738
chemformer,A0,positive_only,20260726,180737,19363937,17.95,394,394,0,0.440219,0.196078,0.529412,0.576019,0.226321,0.764899,0.694307,0.342576,0.036364,0.490909,0.50289,0.187982,0.764862,0.694302
chemformer,A0,positive_only,20260727,180737,19363937,29.39,394,394,0,0.357563,0.039216,0.54902,0.513847,0.191574,0.864235,0.856261,0.350346,0.072727,0.527273,0.506866,0.167412,0.864249,0.856287
chemformer,A0,positive_only,20260728,180737,19363937,30.66,394,394,0,0.403618,0.117647,0.588235,0.549443,0.177124,0.871187,0.868338,0.401255,0.145455,0.472727,0.545994,0.170815,0.871182,0.868331
chemformer,A0,positive_only,20260729,180737,19363937,29.81,394,394,0,0.270215,0.039216,0.27451,0.440159,0.123915,0.871815,0.869437,0.321905,0.127273,0.236364,0.479534,0.127108,0.871813,0.869434
chemformer,A0,positive_only,20260730,180737,19363937,18.04,394,394,0,0.457843,0.176471,0.666667,0.591627,0.201101,0.767283,0.698007,0.420909,0.145455,0.545455,0.562275,0.188335,0.767178,0.697864
chemformer,A1,random_mismatch,20260721,180737,19363937,42.27,788,394,394,0.496639,0.254902,0.627451,0.618877,0.202287,0.371046,0.246974,0.499264,0.254545,0.636364,0.621147,0.204201,0.371082,0.246988
chemformer,A1,random_mismatch,20260722,180737,19363937,42.7,788,394,394,0.476331,0.215686,0.705882,0.605203,0.246973,0.432712,0.296463,0.526061,0.309091,0.672727,0.64182,0.304887,0.432791,0.296515
chemformer,A1,random_mismatch,20260723,180737,19363937,39.78,788,394,394,0.225677,0.019608,0.117647,0.404567,0.109251,0.408705,0.276489,0.222944,0.018182,0.127273,0.403058,0.121676,0.409062,0.276724
chemformer,A1,random_mismatch,20260724,180737,19363937,41.64,788,394,394,0.191387,0.0,0.039216,0.377689,0.086887,0.328662,0.217661,0.191861,0.0,0.018182,0.378393,0.092352,0.328781,0.217647
chemformer,A1,random_mismatch,20260725,180737,19363937,40.31,788,394,394,0.456396,0.215686,0.529412,0.588246,0.193586,0.364022,0.241771,0.418658,0.145455,0.6,0.561138,0.185215,0.363981,0.24172
chemformer,A1,random_mismatch,20260726,180737,19363937,42.15,788,394,394,0.516573,0.333333,0.588235,0.630702,0.186096,0.372555,0.248133,0.543701,0.381818,0.618182,0.650944,0.2552,0.372707,0.248209
chemformer,A1,random_mismatch,20260727,180737,19363937,44.5,788,394,394,0.181256,0.0,0.0,0.36865,0.089489,0.370645,0.247035,0.184264,0.0,0.036364,0.371163,0.094902,0.371053,0.247257
chemformer,A1,random_mismatch,20260728,180737,19363937,26.72,788,394,394,0.310808,0.098039,0.313725,0.470541,0.109884,0.397177,0.267179,0.345173,0.109091,0.381818,0.498648,0.121888,0.397197,0.267157
chemformer,A1,random_mismatch,20260729,180737,19363937,26.94,788,394,394,0.184454,0.0,0.0,0.371462,0.085757,0.36532,0.243256,0.18461,0.0,0.018182,0.371693,0.089548,0.365426,0.243219
chemformer,A1,random_mismatch,20260730,180737,19363937,27.31,788,394,394,0.475817,0.176471,0.72549,0.605974,0.245797,0.346042,0.228926,0.469394,0.218182,0.618182,0.598919,0.244836,0.345917,0.228853
