[P4-G8C] Loading data ...
[P4-G8C] train=399 val=47 test=50
[P4-G8C] stage=1 epoch=0 train_loss=2.7328 val_signal=1000.0000
[P4-G8C] stage=1 epoch=1 train_loss=2.5501 val_signal=1000.0000
[P4-G8C] stage=1 epoch=2 train_loss=2.3144 val_signal=1000.0000
[P4-G8C] stage=1 epoch=3 train_loss=2.3908 val_signal=1000.0000
[P4-G8C] stage=1 epoch=4 train_loss=2.0704 val_signal=1000.0000
[P4-G8C] stage=1 epoch=5 train_loss=2.1729 val_signal=1000.0000
[P4-G8C] stage=1 epoch=6 train_loss=2.0121 val_signal=1000.0000
[P4-G8C] stage=1 epoch=7 train_loss=2.1137 val_signal=1000.0000
[P4-G8C] stage=2 epoch=0 train_loss=1.7873 val_signal=1000.0000
[P4-G8C] stage=2 epoch=1 train_loss=2.0607 val_signal=1000.0000
[P4-G8C] stage=2 epoch=2 train_loss=2.2088 val_signal=1000.0000
[P4-G8C] stage=2 epoch=3 train_loss=1.8941 val_signal=1000.0000
[P4-G8C] stage=2 epoch=4 train_loss=1.7765 val_signal=1000.0000
[P4-G8C] stage=2 epoch=5 train_loss=1.7216 val_signal=1000.0000
[P4-G8C] stage=2 epoch=6 train_loss=1.8576 val_signal=1000.0000
[P4-G8C] stage=2 epoch=7 train_loss=1.8180 val_signal=1000.0000
[P4-G8C] stage=3 epoch=0 train_loss=0.2629 val_signal=1000.0000
[P4-G8C] stage=3 epoch=1 train_loss=0.4452 val_signal=1000.0000
[P4-G8C] stage=3 epoch=2 train_loss=0.3961 val_signal=1000.0000
[P4-G8C] stage=3 epoch=3 train_loss=0.4026 val_signal=1000.0000
[P4-G8C] stage=3 epoch=4 train_loss=0.3172 val_signal=1000.0000
[P4-G8C] stage=3 epoch=5 train_loss=0.4002 val_signal=1000.0000
[P4-G8C] stage=3 epoch=6 train_loss=0.3169 val_signal=1000.0000
[P4-G8C] stage=3 epoch=7 train_loss=0.3953 val_signal=1000.0000
[P4-G8C] stage=4 epoch=0 train_loss=1.6768 val_signal=1000.0000
[P4-G8C] stage=4 epoch=1 train_loss=0.6478 val_signal=1000.0000
[P4-G8C] stage=4 epoch=2 train_loss=0.2881 val_signal=1000.0000
[P4-G8C] stage=4 epoch=3 train_loss=0.5510 val_signal=1000.0000
[P4-G8C] stage=4 epoch=4 train_loss=0.5013 val_signal=1000.0000
[P4-G8C] stage=4 epoch=5 train_loss=0.6414 val_signal=1000.0000
[P4-G8C] stage=4 epoch=6 train_loss=0.5600 val_signal=1000.0000
[P4-G8C] stage=4 epoch=7 train_loss=0.5032 val_signal=1000.0000
[P4-G8C] stage=1 epoch=0 train_loss=2.6015 val_signal=1000.0000
[P4-G8C] stage=1 epoch=1 train_loss=2.2943 val_signal=1000.0000
[P4-G8C] stage=1 epoch=2 train_loss=2.0765 val_signal=1000.0000
[P4-G8C] stage=1 epoch=3 train_loss=1.9852 val_signal=1000.0000
[P4-G8C] stage=1 epoch=4 train_loss=1.7952 val_signal=1000.0000
[P4-G8C] stage=1 epoch=5 train_loss=2.3289 val_signal=1000.0000
[P4-G8C] stage=1 epoch=6 train_loss=1.7333 val_signal=1000.0000
[P4-G8C] stage=1 epoch=7 train_loss=1.7350 val_signal=1000.0000
[P4-G8C] stage=2 epoch=0 train_loss=2.4533 val_signal=1000.0000
[P4-G8C] stage=2 epoch=1 train_loss=1.6949 val_signal=1000.0000
[P4-G8C] stage=2 epoch=2 train_loss=1.5709 val_signal=1000.0000
[P4-G8C] stage=2 epoch=3 train_loss=1.6009 val_signal=1000.0000
[P4-G8C] stage=2 epoch=4 train_loss=1.5604 val_signal=1000.0000
[P4-G8C] stage=2 epoch=5 train_loss=1.8952 val_signal=1000.0000
[P4-G8C] stage=2 epoch=6 train_loss=1.3865 val_signal=1000.0000
[P4-G8C] stage=2 epoch=7 train_loss=1.2853 val_signal=1000.0000
[P4-G8C] stage=3 epoch=0 train_loss=0.1019 val_signal=1000.0000
[P4-G8C] stage=3 epoch=1 train_loss=0.3074 val_signal=1000.0000
[P4-G8C] stage=3 epoch=2 train_loss=0.4559 val_signal=1000.0000
[P4-G8C] stage=3 epoch=3 train_loss=0.4498 val_signal=1000.0000
[P4-G8C] stage=3 epoch=4 train_loss=0.3684 val_signal=1000.0000
[P4-G8C] stage=3 epoch=5 train_loss=0.3843 val_signal=1000.0000
[P4-G8C] stage=3 epoch=6 train_loss=0.3697 val_signal=1000.0000
[P4-G8C] stage=3 epoch=7 train_loss=0.3984 val_signal=1000.0000
[P4-G8C] stage=4 epoch=0 train_loss=1.0318 val_signal=1000.0000
[P4-G8C] stage=4 epoch=1 train_loss=0.5700 val_signal=1000.0000
[P4-G8C] stage=4 epoch=2 train_loss=0.4060 val_signal=1000.0000
[P4-G8C] stage=4 epoch=3 train_loss=0.4418 val_signal=1000.0000
[P4-G8C] stage=4 epoch=4 train_loss=0.3738 val_signal=1000.0000
[P4-G8C] stage=4 epoch=5 train_loss=0.6896 val_signal=1000.0000
[P4-G8C] stage=4 epoch=6 train_loss=0.6426 val_signal=1000.0000
[P4-G8C] stage=4 epoch=7 train_loss=0.6641 val_signal=1000.0000
[P4-G8C] stage=1 epoch=0 train_loss=2.2771 val_signal=1000.0000
[P4-G8C] stage=1 epoch=1 train_loss=2.2610 val_signal=1000.0000
[P4-G8C] stage=1 epoch=2 train_loss=1.8014 val_signal=1000.0000
[P4-G8C] stage=1 epoch=3 train_loss=1.5617 val_signal=1000.0000
[P4-G8C] stage=1 epoch=4 train_loss=1.8445 val_signal=1000.0000
[P4-G8C] stage=1 epoch=5 train_loss=1.3514 val_signal=1000.0000
[P4-G8C] stage=1 epoch=6 train_loss=1.4922 val_signal=1000.0000
[P4-G8C] stage=1 epoch=7 train_loss=1.4058 val_signal=1000.0000
[P4-G8C] stage=2 epoch=0 train_loss=1.0992 val_signal=1000.0000
[P4-G8C] stage=2 epoch=1 train_loss=1.2106 val_signal=1000.0000
[P4-G8C] stage=2 epoch=2 train_loss=1.0368 val_signal=1000.0000
[P4-G8C] stage=2 epoch=3 train_loss=1.1479 val_signal=1000.0000
[P4-G8C] stage=2 epoch=4 train_loss=1.1239 val_signal=1000.0000
[P4-G8C] stage=2 epoch=5 train_loss=1.1261 val_signal=1000.0000
[P4-G8C] stage=2 epoch=6 train_loss=1.1362 val_signal=1000.0000
[P4-G8C] stage=2 epoch=7 train_loss=1.0957 val_signal=1000.0000
[P4-G8C] stage=3 epoch=0 train_loss=0.1500 val_signal=1000.0000
[P4-G8C] stage=3 epoch=1 train_loss=0.1325 val_signal=1000.0000
[P4-G8C] stage=3 epoch=2 train_loss=0.4175 val_signal=1000.0000
[P4-G8C] stage=3 epoch=3 train_loss=0.4103 val_signal=1000.0000
[P4-G8C] stage=3 epoch=4 train_loss=0.4535 val_signal=1000.0000
[P4-G8C] stage=3 epoch=5 train_loss=0.3908 val_signal=1000.0000
[P4-G8C] stage=3 epoch=6 train_loss=0.4236 val_signal=1000.0000
[P4-G8C] stage=3 epoch=7 train_loss=0.4466 val_signal=1000.0000
[P4-G8C] stage=4 epoch=0 train_loss=0.5403 val_signal=1000.0000
[P4-G8C] stage=4 epoch=1 train_loss=0.2445 val_signal=1000.0000
[P4-G8C] stage=4 epoch=2 train_loss=0.4843 val_signal=1000.0000
[P4-G8C] stage=4 epoch=3 train_loss=0.4499 val_signal=1000.0000
[P4-G8C] stage=4 epoch=4 train_loss=0.6177 val_signal=1000.0000
[P4-G8C] stage=4 epoch=5 train_loss=0.4871 val_signal=1000.0000
[P4-G8C] stage=4 epoch=6 train_loss=0.5387 val_signal=1000.0000
[P4-G8C] stage=4 epoch=7 train_loss=0.6974 val_signal=1000.0000
[P4-G8C] stage=1 epoch=0 train_loss=2.8485 val_signal=1000.0000
[P4-G8C] stage=1 epoch=1 train_loss=2.6725 val_signal=1000.0000
[P4-G8C] stage=1 epoch=2 train_loss=2.2154 val_signal=1000.0000
[P4-G8C] stage=1 epoch=3 train_loss=2.2171 val_signal=1000.0000
