dataset,scorer,metric,utility_shape,utility_best_r2,risk_shape,risk_best_r2,n_candidates
g3_v2_test,chemformer,positive_similarity,monotonic_increasing,0.2727,flat,1.0,440
g3_v2_test,chemformer,nearest_train_similarity,threshold,0.5676,flat,1.0,440
g3_v2_test,chemformer,scoring_margin,threshold,0.2077,flat,1.0,440
g3_v2_test,chemformer,ensemble_uncertainty,inverted_u,0.6703,flat,1.0,440
g3_v2_test,chemformer,false_negative_risk,insufficient_data,0,insufficient_data,0,440
g3_v2_test,chemformer,edit_distance,monotonic_decreasing,0.2727,flat,1.0,440
g3_v2_test,chemformer,known_positive_collision,insufficient_data,0,insufficient_data,0,440
g3_v2_test,gnn,positive_similarity,monotonic_increasing,0.2727,flat,1.0,438
g3_v2_test,gnn,nearest_train_similarity,threshold,0.4361,flat,1.0,438
g3_v2_test,gnn,scoring_margin,threshold,0.3915,flat,1.0,438
g3_v2_test,gnn,ensemble_uncertainty,inverted_u,0.0768,flat,1.0,438
g3_v2_test,gnn,false_negative_risk,insufficient_data,0,insufficient_data,0,438
g3_v2_test,gnn,edit_distance,monotonic_decreasing,0.2727,flat,1.0,438
g3_v2_test,gnn,known_positive_collision,insufficient_data,0,insufficient_data,0,438
g4_v2_test,morgan_mlp,positive_similarity,monotonic_increasing,0.2727,flat,1.0,438
g4_v2_test,morgan_mlp,nearest_train_similarity,threshold,0.441,flat,1.0,438
g4_v2_test,morgan_mlp,scoring_margin,threshold,0.346,flat,1.0,438
g4_v2_test,morgan_mlp,ensemble_uncertainty,threshold,0.3684,flat,1.0,438
g4_v2_test,morgan_mlp,false_negative_risk,insufficient_data,0,insufficient_data,0,438
g4_v2_test,morgan_mlp,edit_distance,monotonic_decreasing,0.2727,flat,1.0,438
g4_v2_test,morgan_mlp,known_positive_collision,insufficient_data,0,insufficient_data,0,438
